fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L,hue,saturation,value,emocion,confianza_emocional,score_ira,score_tristeza,score_romanticismo,score_energía,score_alegría,score_relajación,score_calma,score_aburrimiento,coherencia_emocional,temperatura_color,luminosidad_cat,saturacion_cat,emocion_optima,alineacion_emocional,mean_R_norm,mean_G_norm,mean_B_norm,mean_L_norm,mean_a_norm,mean_b_norm,contrast_L_norm,hue_norm,saturation_norm,value_norm
OpenFoodFacts,Aceites,Groundnut Oil,https://images.openfoodfacts.org/images/products/000/002/906/1310/front_en.3.400.jpg,205.1816,195.1038,185.9806,79.291,2.5485,6.2323,13.6519,28.5085,0.0936,0.8046,Neutro/Ambiguo,0.2116,0.08458137704752809,0.07017086960605869,0.0996506158127498,0.10090602970950942,0.18795020794158554,0.05868638727371421,0.18650042268203365,0.21155408992682062,21.16,Neutro,Luminoso,Apagado,Calma,False,0.7776,0.7472,0.7624,0.76,0.4512,0.4523,0.2198,0.0792,0.1012,0.7775
OpenFoodFacts,Aceites,Olio extra vergine di oliva aromatizzato al limone,https://images.openfoodfacts.org/images/products/800/354/002/0226/front_it.12.400.jpg,100.0643,89.9642,84.4048,37.3283,3.5709,4.6528,31.6898,21.3011,0.1565,0.3924,Tristeza,0.2255,0.10479067433304413,0.22545600538793875,0.15550471289903933,0.10328816230118307,0.11865529312784723,0.05106989128173311,0.0947007542990124,0.14653450637020193,22.55,Neutro,Oscuro,Apagado,Calma,False,0.3014,0.2979,0.3113,0.2677,0.4826,0.4263,0.8514,0.0592,0.1692,0.3013
OpenFoodFacts,Aceites,Zucchi Olio Extravergine di oliva,https://images.openfoodfacts.org/images/products/800/354/020/2448/front_it.8.400.jpg,129.5447,131.9646,130.1516,53.6144,-0.9813,0.5953,27.4237,135.0477,0.0183,0.5175,Tristeza,0.2494,0.05122056237364205,0.24936829284419842,0.17002159040238837,0.11510402544558533,0.017532286082002663,0.09727504299967836,0.08472274602720417,0.21475545382530062,24.94,Neutro,Medio,Apagado,Calma,False,0.4349,0.4774,0.5145,0.4588,0.343,0.3596,0.702,0.3752,0.0198,0.4458
OpenFoodFacts,Aceites,Huile d’olive extra vierge,https://images.openfoodfacts.org/images/products/802/558/501/0062/front_fr.3.400.jpg,196.4866,175.5077,152.8024,72.2719,4.0343,14.4947,19.6587,31.1856,0.2223,0.7705,Alegría,0.2654,0.08988737936983766,0.016091742131200893,0.15230847821568283,0.2105614765792477,0.2653676795001509,0.014104567770765183,0.058486542177821614,0.19319213425529325,26.54,Cálido,Luminoso,Apagado,Calma,False,0.7382,0.6634,0.6151,0.6777,0.4968,0.5881,0.4301,0.0866,0.2404,0.7381
OpenFoodFacts,Aceites,Olio extra vergine di oliva classico,https://images.openfoodfacts.org/images/products/800/911/301/4166/front_it.50.400.jpg,126.9542,123.1565,77.5022,50.4968,-4.0087,24.1613,24.3829,55.3923,0.3895,0.4979,Tristeza,0.2658,0.01303305641842564,0.2657514934027752,0.21410615530320604,0.1905621535121691,0.14650349366682114,0.017443187526958583,0.01710458418080119,0.13549587598884316,26.58,Cálido,Medio,Moderado,Calma,False,0.4232,0.4398,0.2807,0.4222,0.2502,0.7469,0.5956,0.1539,0.4211,0.4232
OpenFoodFacts,Aceites,Olio extra vergine di oliva,https://images.openfoodfacts.org/images/products/800/020/100/0016/front_it.10.400.jpg,148.1977,150.3308,136.0587,59.9224,-2.7019,6.5253,35.23,68.9676,0.0949,0.5895,Aburrimiento,0.2472,0.10207719351996423,0.12296110819881036,0.1607348333443313,0.16214751405753494,0.06971921288573234,0.041762825796521456,0.09337738621256873,0.24721992598453668,24.72,Neutro,Medio,Apagado,Calma,False,0.5195,0.5559,0.5407,0.5328,0.2902,0.4571,0.9754,0.1916,0.1026,0.529
OpenFoodFacts,Aceites,Olio di semi di mais,https://images.openfoodfacts.org/images/products/800/354/016/1080/front_it.3.400.jpg,136.8911,126.5061,101.1792,53.3301,0.8936,15.5224,9.9754,42.552,0.2609,0.5368,Romanticismo,0.2281,0.085600156369679,0.13561771398794703,0.22813127831008045,0.2191443377756146,0.18699883968263603,0.012652434854946918,0.018488534816894383,0.11336670420220155,22.81,Cálido,Medio,Moderado,Calma,False,0.4682,0.4541,0.3858,0.4555,0.4005,0.605,0.091,0.1182,0.2821,0.4681
OpenFoodFacts,Aceites,India Gate Uplife Gut Pro,https://images.openfoodfacts.org/images/products/069/022/530/9110/front_en.3.400.jpg,108.1613,118.7076,114.3463,48.6432,-3.5044,1.6315,18.5966,155.1877,0.0888,0.4655,Tristeza,0.282,0.07110778531900178,0.2820457104110838,0.1616669761656765,0.08634630531241409,0.0268888801215094,0.08687990853019055,0.09960139596006183,0.18546303818006213,28.2,Neutro,Medio,Apagado,Calma,False,0.3381,0.4207,0.4443,0.4005,0.2656,0.3767,0.3929,0.4311,0.096,0.3857
OpenFoodFacts,Aceites,Huile pour pizza et pâtes,https://images.openfoodfacts.org/images/products/426/035/558/5676/front_fr.15.400.jpg,132.5054,124.2114,120.884,52.2605,3.723,3.8873,20.5485,17.179,0.0877,0.5196,Neutro/Ambiguo,0.1832,0.08023177441373211,0.16969981868588488,0.18322769859484744,0.13800122595034534,0.1100790419819844,0.054411468579283535,0.09301838424767742,0.17133058754624492,18.32,Neutro,Medio,Apagado,Calma,False,0.4484,0.4443,0.4733,0.4429,0.4872,0.4137,0.4613,0.0477,0.0948,0.4482
OpenFoodFacts,Aceites,Vijaya Ground nut oil,https://images.openfoodfacts.org/images/products/890/601/830/2001/front_en.5.400.jpg,124.2572,109.1472,91.4331,46.2205,3.1045,12.0432,23.1265,32.3801,0.2642,0.4873,Neutro/Ambiguo,0.2198,0.10738768642868503,0.2048791500361189,0.21976507989538993,0.1623022296264614,0.17078129756490612,0.012400660357234795,0.03318476998460601,0.08929912610659778,21.98,Cálido,Medio,Moderado,Calma,False,0.411,0.3799,0.3425,0.3721,0.4683,0.5478,0.5516,0.09,0.2857,0.4109
