fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L,emocion_1,valencia_1,deltaE_1,emocion_2,deltaE_2,emocion_3,deltaE_3
Amazon Berkeley Objects,Moda - Zapatos,"Amazon-merk - vinden. Dames Leder Gesloten Teen Hakken,Veelkleurig Vrouw Blauw,5 UK",https://m.media-amazon.com/images/I/81iZlv3bjpL._SX512_.jpg,233.7722,230.9062,230.2254,91.3034,1.0124,0.7742,19.7703,Soothed,Positiva - Baja activación,15.42,Refreshed,18.8,Relaxed,23.84
Amazon Berkeley Objects,Hogar - Sofás,"Stone & Beam Stone Brown Swatch, 25020039-01",https://m.media-amazon.com/images/I/61Rp4qOih9L._SX512_.jpg,134.6561,124.6561,114.6562,52.7894,2.008,6.8429,6.922,Anxious,Negativa - Alta activación,11.59,Irritated,13.29,Bored,15.43
Amazon Berkeley Objects,Moda - Zapatos,"The Fix Amazon Brand Women's French Floral Embroidery Slide Slip-on Loafer, Havana Tan, 6.5 B US",https://m.media-amazon.com/images/I/714CmIfKIYL._SX512_.jpg,198.9022,180.9837,167.3452,74.0896,5.1957,10.3778,26.2609,Refreshed,Positiva - Baja activación,13.41,Happy,16.67,Healthy,18.3
Amazon Berkeley Objects,Moda - Zapatos,"Richter Kinderschuhe Bios, Mules Mixte Enfant Beige (Taupe Taupe) 42 EU",https://m.media-amazon.com/images/I/71QExDBDozL._SX512_.jpg,242.1821,238.468,234.0417,94.2952,0.653,2.7813,11.5458,Soothed,Positiva - Baja activación,18.44,Refreshed,21.36,Happy,25.61
Amazon Berkeley Objects,Moda - Pendientes,[Find] Amazon Collection Platinum Plated Sterling Silver Clear Princess kattokyu-bikkuzirukoniasutaddopiasu Binaural Headset for Stud Earrings jee00087 _ 120cl00qd00,https://m.media-amazon.com/images/I/61kDp2x8tPL._SX512_.jpg,239.1913,239.0357,239.114,94.2292,0.0683,-0.0163,13.8201,Soothed,Positiva - Baja activación,16.98,Refreshed,21.33,Calm,25.58
Amazon Berkeley Objects,Moda - Zapatos,"Amazon-merk - vinden. Archer, Heren Trainers,Kleur: wit,12 UK",https://m.media-amazon.com/images/I/71RKqQao9rL._SX512_.jpg,250.5856,249.7036,248.7419,98.1727,0.1543,0.6011,5.9112,Soothed,Positiva - Baja activación,20.62,Refreshed,25.06,Calm,29.06
Amazon Berkeley Objects,Moda - Zapatos,Stanton Men's Brown Loafers-8 UK (42 EU) (9 US) (FK/YT1893/BRW),https://m.media-amazon.com/images/I/71kE0ihplPL._SX512_.jpg,197.8698,191.164,186.9964,76.3368,2.1846,3.5489,32.4552,Refreshed,Positiva - Baja activación,8.53,Soothed,13.75,Thirsty,14.52
Amazon Berkeley Objects,Moda - Zapatos,"Amazon Brand - The Fix Women's Foley Tassel Slide Sandal, Taupe, 6.5 B US",https://m.media-amazon.com/images/I/71-eMu0gN+L._SX512_.jpg,192.8695,185.6503,176.604,74.6695,1.3188,5.9984,27.366,Refreshed,Positiva - Baja activación,7.94,Thirsty,14.05,Relaxed,15.15
Amazon Berkeley Objects,Tecnología - Auriculares,Amazonbasics On-Ear Wireless Bluetooth Headphones with Microphone - Champagne,https://m.media-amazon.com/images/I/61OnkGVhMWL._SX512_.jpg,241.9939,241.9939,241.9939,94.9129,-0.0023,0.0044,21.3497,Soothed,Positiva - Baja activación,17.53,Refreshed,21.96,Calm,26.1
Amazon Berkeley Objects,Moda - Carteras,Nia & Nicole Women's Clutch (Navy Blue:: Mustard),https://m.media-amazon.com/images/I/818R27QVJSL._SX512_.jpg,175.2522,172.0243,174.2408,68.0814,2.3107,-1.124,40.5388,Thirsty,Neutral - Sensorial,7.98,Refreshed,11.0,Relaxed,11.18
