fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L
ABO,Tecnología - Auriculares,Amazonbasics On-Ear Wireless Bluetooth Headphones with Microphone - Champagne,https://m.media-amazon.com/images/I/61OnkGVhMWL._SX512_.jpg,241.9939,241.9939,241.9939,94.9129,-0.0023,0.0044,21.3497
ABO,Hogar - Velas,Amazon Brand - Solimo Wax Tealight Unscented Candle (Set of 50),https://m.media-amazon.com/images/I/61p9OeSQH1L._SX512_.jpg,240.0821,239.0986,238.9916,94.27,0.3482,0.2141,14.76
ABO,Tecnología - Auriculares,"AmazonBasics Gaming Headset for Xbox One, PS4",https://m.media-amazon.com/images/I/81sOaAo4RQL._SX512_.jpg,186.8936,186.6234,185.4269,73.7453,-0.0494,0.708,36.1437
ABO,Hogar - Lámparas,Amazon Brand – Stone & Beam Modern Crystal Glass Rectangle Table Desk Lamp With Bulb And White Shade - 18 x 12 x 12 Inches,https://m.media-amazon.com/images/I/81oTHF1PcUL._SX512_.jpg,240.6584,240.5032,241.1714,94.9288,0.1755,-0.3018,7.8455
ABO,Hogar - Jarrones,"Amazon Brand – Stone & Beam Modern Ceramic Triangle Decor Planter Pot, 5 Inch, White and Terra Cotta",https://m.media-amazon.com/images/I/91jUeBRiD3L._SX512_.jpg,212.3395,182.6232,170.6542,76.4629,10.6975,11.83,21.7622
ABO,Hogar - Lámparas,"Amazon Brand – Rivet Dome-Shaped Table Lamp, Aster Modern, with Bulb, 21""H, Tan/Light Pink",https://m.media-amazon.com/images/I/418eXzxGlSL._SX512_.jpg,251.037,249.4411,247.2133,98.1131,0.1938,1.3123,5.7093
ABO,Hogar - Lámparas,"Umi. by Amazon - Lámpara de pie, pantalla de tela, cilíndrica, 144,27 cm, beige",https://m.media-amazon.com/images/I/61pDBxYvDBL._SX512_.jpg,253.571,253.4456,253.4893,99.4599,0.049,0.0011,3.4797
ABO,Cocina - Cafeteras,"Amazon Brand - Solimo Elan 600 ml Coffee Maker, Silver (Ideal for Black coffee)",https://m.media-amazon.com/images/I/71Bcjx8nAuL._SX512_.jpg,168.8405,168.376,170.8469,66.5871,0.715,-1.3518,39.4946
ABO,Cosmética - Champús,"Amazon Brand - Solimo Advanced Solution Dandruff & Seborrheic Dermatitis Shampoo, Maximum Strength, 14.2 Fluid Ounce",https://m.media-amazon.com/images/I/716PGSYfPGL._SX512_.jpg,213.5896,218.6767,230.1276,86.4917,1.5736,-6.8629,25.3326
ABO,Hogar - Relojes pared,Amazon Brand - Solimo 12-inch Wall Clock - Woodstock (Silent Movement),https://m.media-amazon.com/images/I/71V6dS6gwnL._SX512_.jpg,189.6864,174.8302,176.1597,71.1537,6.3171,2.3065,35.4158
ABO,Tecnología - Auriculares,"AmazonBasics In-ear Headphones with Mic, Green",https://m.media-amazon.com/images/I/51+isEgEhzL._SX512_.jpg,227.3869,242.808,227.4193,94.3887,-7.863,6.2379,11.0889
ABO,Tecnología - Auriculares,AmazonBasics Lightweight On-Ear Headphones - Black + AmazonBasics 5-Way Multi Headphone Splitter,https://m.media-amazon.com/images/I/51YSWC3-sIL._SX512_.jpg,225.2729,225.1058,225.0998,88.283,0.0679,0.0252,29.7824
ABO,Hogar - Lámparas,"Stone & Beam Iluminación de granja clásico, 20.5"" Table Lamp, Blanco gastado",https://m.media-amazon.com/images/I/818AbpLrjfL._SX512_.jpg,245.3008,239.7962,234.5173,94.8971,1.1178,3.3747,10.7941
ABO,Hogar - Lámparas,"Amazon Brand – Ravenna Home Faux Wood Table Lamp, Bulb Included, 18""H, White",https://m.media-amazon.com/images/I/41nC8ZY-1SL._SX512_.jpg,249.2003,249.5139,249.6674,98.062,-0.0796,-0.1074,4.488
ABO,Hogar - Relojes pared,Amazon Brand - Solimo 12-inch Wall Clock - Cozy Clock (Silent Movement),https://m.media-amazon.com/images/I/71y0ix0PW9L._SX512_.jpg,202.2881,197.8341,186.5107,78.4241,-0.2985,6.1715,31.3244
ABO,Hogar - Lámparas,"Umi. by Amazon - Lámpara de mesa, pantalla de tela, base redonda de metal, 26,67 cm",https://m.media-amazon.com/images/I/71P4Cw3I5ZL._SX512_.jpg,242.0767,240.9028,243.169,95.1718,0.8068,-0.9688,8.3018
ABO,Hogar - Lámparas,"Amazon Brand – Ravenna Home Glass Stacked Ball Living Room Floor Lamp with LED Light Bulb - 59.75 Inches, Dark Bronze with White Linen Shade",https://m.media-amazon.com/images/I/41gZ0BM3dnL._SX512_.jpg,249.5793,249.696,249.8318,97.9962,-0.0134,-0.0762,11.0816
ABO,Hogar - Lámparas,"Stone & Beam MH103137 - Rivet Cylinder Lamp - Table, 14"" x 14"" x 22"", Paint+Plating",https://m.media-amazon.com/images/I/71aF4fftphL._SX512_.jpg,240.0265,239.2977,237.9686,94.4662,0.0226,0.7685,9.5397
ABO,Cocina - Botellas,"Amazon Brand - Solimo Borosilicate Glass Sports Bottle, 470 ml, Orange",https://m.media-amazon.com/images/I/61TiAGVNEEL._SX512_.jpg,232.2463,152.1733,143.825,71.5282,30.3899,19.599,18.5048
ABO,Hogar - Lámparas,"Amazon Brand – Ravenna Home Swing Arm Living Room Floor Lamp With LED Light Bulb - 58 Inches, Brushed Steel",https://m.media-amazon.com/images/I/41YZdSq2qBL._SX512_.jpg,252.6304,252.4678,252.5075,99.1138,0.0629,0.0071,4.6327
ABO,Hogar - Lámparas,"Amazon Brand – Ravenna Home Textured Ceramic Base Table Lamp with LED Light Bulb, 18""H, Silver - 20465-002",https://m.media-amazon.com/images/I/51nyDMjCmHL._SX512_.jpg,245.7917,245.8768,245.4304,96.7365,-0.1116,0.2162,8.5536
ABO,Hogar - Lámparas,"Stone & Beam Leland Modern Textured Table Lamp With Bulb, 24.5""H, Grey",https://m.media-amazon.com/images/I/914f-Byw2HL._SX512_.jpg,217.5995,214.8512,212.8871,85.4556,0.6808,1.4481,22.0636
ABO,Tecnología - Auriculares,Umi. Essentials W5S updated version auricolari Bluetooth 5.0 TWS True Wireless Stereo per iPhone Samsung Huawei con custodia smart di ricarica brevettata in metallo (rosso),https://m.media-amazon.com/images/I/613Hwu6ZLuL._SX512_.jpg,187.2483,156.8446,156.958,66.7351,11.8733,6.6324,34.8094
ABO,Cosmética - Champús,"365 Everyday Value, Herbal Mint Shampoo, 32 fl oz",https://m.media-amazon.com/images/I/61jX702XK5L._SX512_.jpg,223.163,228.2381,205.0627,89.501,-5.289,10.8628,17.6234
