fuente,categoria,nombre,imagen_url,mean_R,mean_G,mean_B,mean_L,mean_a,mean_b,contrast_L
OpenFoodFacts,Bebidas,Sidi Ali,https://images.openfoodfacts.org/images/products/611/103/500/0430/front_en.104.400.jpg,119.5029,117.6263,113.4428,49.1432,0.5816,2.6858,16.1946
OpenFoodFacts,Bebidas,Eau minérale naturelle,https://images.openfoodfacts.org/images/products/611/103/500/0058/front_en.134.400.jpg,140.9316,130.0501,112.8634,54.2951,1.989,11.159,20.4736
OpenFoodFacts,Bebidas,Sidi Ali,https://images.openfoodfacts.org/images/products/611/103/500/2175/front_fr.118.400.jpg,118.2151,117.3915,113.6259,48.7011,0.4557,2.7913,20.5026
OpenFoodFacts,Bebidas,Eau De Source,https://images.openfoodfacts.org/images/products/327/408/000/5003/front_en.797.400.jpg,198.9857,206.8748,219.9122,82.6964,0.8382,-7.373,16.0762
OpenFoodFacts,Bebidas,Ain Saïss,https://images.openfoodfacts.org/images/products/611/112/800/0071/front_fr.62.400.jpg,131.4219,117.5709,106.1947,50.0312,3.7015,8.2388,15.2594
OpenFoodFacts,Bebidas,اكوافينا,https://images.openfoodfacts.org/images/products/611/125/242/1568/front_en.62.400.jpg,97.7479,88.7498,82.5669,37.9918,3.9595,4.8396,18.5336
OpenFoodFacts,Bebidas,6111035000027,https://images.openfoodfacts.org/images/products/611/103/500/0027/front_en.59.400.jpg,184.207,184.5561,177.6528,74.7183,-1.1245,3.463,8.8759
OpenFoodFacts,Bebidas,Eau minéral naturelle,https://images.openfoodfacts.org/images/products/611/103/550/2828/front_fr.3.400.jpg,112.4437,124.8468,141.1433,50.989,-0.7266,-10.2971,22.4719
OpenFoodFacts,Bebidas,Cocacola original taste,https://images.openfoodfacts.org/images/products/544/900/005/4227/front_en.406.400.jpg,144.0802,119.8859,118.1291,51.7487,9.4683,6.7374,34.3734
OpenFoodFacts,Bebidas,اكوافينا,https://images.openfoodfacts.org/images/products/611/125/242/1582/front_ar.34.400.jpg,120.7706,126.3463,135.5382,52.4563,2.5695,-5.7493,20.6231
OpenFoodFacts,Bebidas,Oulmes natural carbonated water,https://images.openfoodfacts.org/images/products/611/103/500/3035/front_en.61.400.jpg,53.5826,65.7126,86.9585,27.121,2.1808,-14.553,16.9568
OpenFoodFacts,Bebidas,Cappy PULPY,https://images.openfoodfacts.org/images/products/544/900/014/7417/front_en.73.400.jpg,122.5399,106.4333,77.3686,44.9735,4.0491,17.0028,26.2252
OpenFoodFacts,Bebidas,Geröstete Mandel Ohne Zucker,https://images.openfoodfacts.org/images/products/541/118/811/2709/front_en.927.400.jpg,179.9113,159.3025,144.6157,66.4733,6.7404,11.1703,25.1387
OpenFoodFacts,Bebidas,Ciel 33cl,https://images.openfoodfacts.org/images/products/000/004/210/4964/front_en.36.400.jpg,126.0739,137.6898,142.6991,56.5723,-0.3032,-3.3113,18.1192
OpenFoodFacts,Bebidas,Ain Atlas,https://images.openfoodfacts.org/images/products/611/103/500/1659/front_fr.21.400.jpg,134.0716,113.8924,99.8879,49.507,6.5952,11.3671,14.9428
OpenFoodFacts,Bebidas,Ciel,https://images.openfoodfacts.org/images/products/544/900/006/1515/front_fr.46.400.jpg,131.4037,117.231,98.9701,50.0558,4.567,12.1472,16.5022
OpenFoodFacts,Bebidas,Ain Saiss Eau Minerale Naturelle,https://images.openfoodfacts.org/images/products/611/112/800/0163/front_fr.63.400.jpg,143.0768,125.9626,115.3812,53.4441,5.2085,7.7317,18.6998
OpenFoodFacts,Bebidas,Coke Zero,https://images.openfoodfacts.org/images/products/544/900/021/4799/front_en.363.400.jpg,116.3763,64.3398,71.5976,34.1643,22.9644,7.7264,20.2544
OpenFoodFacts,Bebidas,ain saiss 50cl,https://images.openfoodfacts.org/images/products/611/112/800/0088/front_fr.34.400.jpg,54.9962,43.2608,34.3803,17.8861,4.0984,6.8374,18.9056
OpenFoodFacts,Bebidas,كيفير,https://images.openfoodfacts.org/images/products/611/126/696/3207/front_en.42.400.jpg,80.755,75.0074,77.2042,31.7638,4.1275,-0.3381,23.2535
OpenFoodFacts,Bebidas,Coca-Cola,https://images.openfoodfacts.org/images/products/544/900/021/4911/front_fr.293.400.jpg,134.5866,120.5759,111.8595,51.2731,4.0937,7.0343,19.4616
OpenFoodFacts,Bebidas,Jamila رايبي,https://images.openfoodfacts.org/images/products/611/103/200/6619/front_fr.69.400.jpg,130.8731,108.2552,132.7587,49.1572,16.1398,-7.8403,21.3114
OpenFoodFacts,Bebidas,Ain Atlas,https://images.openfoodfacts.org/images/products/611/103/500/1635/front_en.38.400.jpg,62.1738,92.3827,69.0347,34.9078,-16.1439,9.8252,25.4268
OpenFoodFacts,Bebidas,CRISTALINE Eau De Source 0.5L,https://images.openfoodfacts.org/images/products/326/884/000/1008/front_fr.422.400.jpg,206.5763,209.2655,220.4481,83.6043,1.9304,-6.2007,19.771
OpenFoodFacts,Bebidas,kéfir nature b6 b12  699g,https://images.openfoodfacts.org/images/products/842/075/601/0320/front_fr.27.400.jpg,163.0807,147.851,142.8032,62.3198,5.6255,5.5318,17.4418
OpenFoodFacts,Bebidas,Aïn Atlas 50cl,https://images.openfoodfacts.org/images/products/611/103/500/1673/front_fr.3.400.jpg,129.8537,132.8898,133.3285,55.0121,-0.6493,-0.4219,14.0897
